game,winner,timeout,adjudicated_timeout,target_value_strength,steps,walls,invalid_moves,examples_generated,replay_size,policy_loss,value_loss,total_loss,best_value_loss,avg_root_max_visit_ratio,action_temperature,temperature_after_drop,temperature_drop_step,target_policy_temperature,num_simulations,mcts_batch_size
345,1,0,0,1.0,19,7,0,19,7487,1.281909,0.411219,1.693128,0.093813,0.747913,0.0,0.0,8,1.0,600,1
346,2,0,0,1.0,22,7,0,22,7509,1.177423,0.399142,1.576565,0.093813,0.708605,0.0,0.0,8,1.0,600,1
347,2,0,0,1.0,18,8,0,18,7527,1.25999,0.48263,1.74262,0.093813,0.719162,0.0,0.0,8,1.0,600,1
348,2,0,0,1.0,28,8,0,28,7555,1.262265,0.484145,1.74641,0.093813,0.824827,0.0,0.0,8,1.0,600,1
349,2,0,0,1.0,20,8,0,20,7575,1.250554,0.391824,1.642378,0.093813,0.780718,0.0,0.0,8,1.0,600,1
350,2,0,0,1.0,36,8,0,36,7611,1.130816,0.280693,1.411509,0.093813,0.762104,0.0,0.0,8,1.0,600,1
351,2,0,0,1.0,26,8,0,26,7637,1.444024,0.329652,1.773676,0.093813,0.742648,0.0,0.0,8,1.0,600,1
352,2,0,0,1.0,20,7,0,20,7657,1.420601,0.412152,1.832753,0.093813,0.784891,0.0,0.0,8,1.0,600,1
353,1,0,0,1.0,29,8,0,29,7686,1.197627,0.464786,1.662413,0.093813,0.784986,0.0,0.0,8,1.0,600,1
354,2,0,0,1.0,18,8,0,18,7704,1.264838,0.270405,1.535242,0.093813,0.809776,0.0,0.0,8,1.0,600,1
355,2,0,0,1.0,22,7,0,22,7726,1.259898,0.382436,1.642334,0.093813,0.681742,0.0,0.0,8,1.0,600,1
356,1,0,0,1.0,17,6,0,17,7743,1.311863,0.448454,1.760317,0.093813,0.696848,0.0,0.0,8,1.0,600,1
357,1,0,0,1.0,27,8,0,27,7770,1.318081,0.546571,1.864652,0.093813,0.824955,0.0,0.0,8,1.0,600,1
358,2,0,0,1.0,26,8,0,26,7796,1.275682,0.36076,1.636442,0.093813,0.754848,0.0,0.0,8,1.0,600,1
359,1,0,0,1.0,17,5,0,17,7813,1.252132,0.442904,1.695037,0.093813,0.66611,0.0,0.0,8,1.0,600,1
360,2,0,0,1.0,26,6,0,26,7839,1.370116,0.349528,1.719644,0.093813,0.760241,0.0,0.0,8,1.0,600,1
361,1,0,0,1.0,17,8,0,17,7856,1.402491,0.351048,1.753539,0.093813,0.740941,0.0,0.0,8,1.0,600,1
362,1,0,0,1.0,19,7,0,19,7875,1.142462,0.36591,1.508371,0.093813,0.732449,0.0,0.0,8,1.0,600,1
363,2,0,0,1.0,16,7,0,16,7891,1.353581,0.363134,1.716715,0.093813,0.796849,0.0,0.0,8,1.0,600,1
364,2,0,0,1.0,20,7,0,20,7911,1.316904,0.399879,1.716783,0.093813,0.78005,0.0,0.0,8,1.0,600,1
365,1,0,0,1.0,19,5,0,19,7930,1.308004,0.431728,1.739731,0.093813,0.584483,0.0,0.0,8,1.0,600,1
366,2,0,0,1.0,18,6,0,18,7948,1.33618,0.335633,1.671813,0.093813,0.679002,0.0,0.0,8,1.0,600,1
367,2,1,1,0.3,70,7,0,70,8018,1.232029,0.429824,1.661853,0.093813,0.658288,0.0,0.0,8,1.0,600,1
368,2,0,0,1.0,18,8,0,18,8036,1.277787,0.386517,1.664304,0.093813,0.833148,0.0,0.0,8,1.0,600,1
369,1,0,0,1.0,17,6,0,17,8053,1.240049,0.374938,1.614987,0.093813,0.623687,0.0,0.0,8,1.0,600,1
370,1,0,0,1.0,19,8,0,19,8072,1.179883,0.346591,1.526473,0.093813,0.73403,0.0,0.0,8,1.0,600,1
371,2,0,0,1.0,22,8,0,22,8094,1.445169,0.321599,1.766768,0.093813,0.709516,0.0,0.0,8,1.0,600,1
372,2,0,0,1.0,22,7,0,22,8116,1.362125,0.372449,1.734574,0.093813,0.669297,0.0,0.0,8,1.0,600,1
373,1,0,0,1.0,9,5,0,9,8125,1.232804,0.329726,1.562529,0.093813,0.723613,0.0,0.0,8,1.0,600,1
374,1,0,0,1.0,19,8,0,19,8144,1.111765,0.378328,1.490093,0.093813,0.6966,0.0,0.0,8,1.0,600,1
375,1,0,0,1.0,19,7,0,19,8163,1.310213,0.392754,1.702967,0.093813,0.719533,0.0,0.0,8,1.0,600,1
376,2,0,0,1.0,18,8,0,18,8181,1.337605,0.429074,1.766679,0.093813,0.7046,0.0,0.0,8,1.0,600,1
377,1,0,0,1.0,29,7,0,29,8210,1.273047,0.429765,1.702811,0.093813,0.842208,0.0,0.0,8,1.0,600,1
