game,winner,timeout,adjudicated_timeout,target_value_strength,steps,walls,invalid_moves,examples_generated,replay_size,policy_loss,value_loss,total_loss,best_value_loss,avg_root_max_visit_ratio,action_temperature,temperature_after_drop,temperature_drop_step,target_policy_temperature,num_simulations,mcts_batch_size
246,1,0,0,1.0,19,7,0,19,5079,1.359438,0.478666,1.838104,0.171304,0.76452,0.0,0.0,8,1.0,600,1
247,1,0,0,1.0,23,7,0,23,5102,1.520291,0.507728,2.028018,0.171304,0.704145,0.0,0.0,8,1.0,600,1
248,2,1,1,0.3,70,8,0,70,5172,1.436211,0.435876,1.872087,0.171304,0.807107,0.0,0.0,8,1.0,600,1
249,1,0,0,1.0,9,1,0,9,5181,1.354741,0.334996,1.689737,0.171304,0.655723,0.0,0.0,8,1.0,600,1
250,2,0,0,1.0,16,8,0,16,5197,1.487024,0.47577,1.962795,0.171304,0.733619,0.0,0.0,8,1.0,600,1
251,1,0,0,1.0,19,8,0,19,5216,1.246724,0.423769,1.670493,0.171304,0.678587,0.0,0.0,8,1.0,600,1
252,2,1,1,0.3,70,8,0,70,5286,1.285656,0.363105,1.648761,0.171304,0.782709,0.0,0.0,8,1.0,600,1
253,2,0,0,1.0,18,7,0,18,5304,1.315961,0.388129,1.70409,0.171304,0.676312,0.0,0.0,8,1.0,600,1
254,1,0,0,1.0,17,7,0,17,5321,1.42975,0.399158,1.828909,0.171304,0.728567,0.0,0.0,8,1.0,600,1
255,2,0,0,1.0,30,8,0,30,5351,1.358806,0.340048,1.698854,0.171304,0.77212,0.0,0.0,8,1.0,600,1
256,1,0,0,1.0,31,8,0,31,5382,1.34888,0.419625,1.768505,0.171304,0.66681,0.0,0.0,8,1.0,600,1
257,1,0,0,1.0,17,6,0,17,5399,1.444539,0.451246,1.895785,0.171304,0.714524,0.0,0.0,8,1.0,600,1
258,1,0,0,1.0,19,8,0,19,5418,1.329184,0.300521,1.629704,0.171304,0.708198,0.0,0.0,8,1.0,600,1
259,2,0,0,1.0,18,7,0,18,5436,1.58034,0.348192,1.928532,0.171304,0.718698,0.0,0.0,8,1.0,600,1
260,1,0,0,1.0,19,7,0,19,5455,1.370326,0.411094,1.78142,0.171304,0.736403,0.0,0.0,8,1.0,600,1
261,1,0,0,1.0,13,5,0,13,5468,1.519582,0.402613,1.922195,0.171304,0.709516,0.0,0.0,8,1.0,600,1
262,2,0,0,1.0,16,7,0,16,5484,1.41789,0.429723,1.847613,0.171304,0.726628,0.0,0.0,8,1.0,600,1
263,2,0,0,1.0,24,7,0,24,5508,1.495679,0.328084,1.823763,0.171304,0.715428,0.0,0.0,8,1.0,600,1
264,1,0,0,1.0,23,8,0,23,5531,1.47149,0.386801,1.858292,0.171304,0.695797,0.0,0.0,8,1.0,600,1
265,2,0,0,1.0,22,8,0,22,5553,1.25292,0.34287,1.595789,0.171304,0.739111,0.0,0.0,8,1.0,600,1
266,2,0,0,1.0,16,6,0,16,5569,1.376261,0.363477,1.739738,0.171304,0.526398,0.0,0.0,8,1.0,600,1
267,1,0,0,1.0,23,7,0,23,5592,1.303111,0.278389,1.5815,0.171304,0.703491,0.0,0.0,8,1.0,600,1
268,2,0,0,1.0,28,8,0,28,5620,1.318428,0.316798,1.635226,0.171304,0.72305,0.0,0.0,8,1.0,600,1
269,1,0,0,1.0,27,8,0,27,5647,1.429222,0.46845,1.897672,0.171304,0.747419,0.0,0.0,8,1.0,600,1
270,1,0,0,1.0,17,8,0,17,5664,1.44864,0.427381,1.876021,0.171304,0.664343,0.0,0.0,8,1.0,600,1
271,1,0,0,1.0,17,7,0,17,5681,1.301732,0.406515,1.708247,0.171304,0.740646,0.0,0.0,8,1.0,600,1
272,1,1,1,0.3,70,8,0,70,5751,1.377379,0.432634,1.810013,0.171304,0.82912,0.0,0.0,8,1.0,600,1
273,1,0,0,1.0,19,8,0,19,5770,1.351854,0.371095,1.72295,0.171304,0.703717,0.0,0.0,8,1.0,600,1
274,1,1,1,0.3,70,7,0,70,5840,1.367592,0.420348,1.78794,0.171304,0.745361,0.0,0.0,8,1.0,600,1
275,1,0,0,1.0,29,8,0,29,5869,1.235652,0.360424,1.596076,0.171304,0.728398,0.0,0.0,8,1.0,600,1
276,2,0,0,1.0,18,6,0,18,5887,1.339495,0.398466,1.73796,0.171304,0.660731,0.0,0.0,8,1.0,600,1
277,2,0,0,1.0,32,8,0,32,5919,1.32862,0.412309,1.740928,0.171304,0.723915,0.0,0.0,8,1.0,600,1
278,2,0,0,1.0,14,8,0,14,5933,1.696447,0.408718,2.105165,0.171304,0.690794,0.0,0.0,8,1.0,600,1
279,1,0,0,1.0,23,8,0,23,5956,1.383075,0.429143,1.812217,0.171304,0.714306,0.0,0.0,8,1.0,600,1
280,2,0,0,1.0,18,6,0,18,5974,1.355907,0.343733,1.699641,0.171304,0.659525,0.0,0.0,8,1.0,600,1
281,2,0,0,1.0,22,7,0,22,5996,1.352901,0.410706,1.763607,0.171304,0.728335,0.0,0.0,8,1.0,600,1
282,2,0,0,1.0,20,7,0,20,6016,1.357492,0.477316,1.834808,0.171304,0.709516,0.0,0.0,8,1.0,600,1
283,1,0,0,1.0,19,8,0,19,6035,1.477205,0.418197,1.895402,0.171304,0.758545,0.0,0.0,8,1.0,600,1
284,1,0,0,1.0,19,8,0,19,6054,1.322024,0.388485,1.710508,0.171304,0.700466,0.0,0.0,8,1.0,600,1
285,1,0,0,1.0,27,7,0,27,6081,1.384865,0.44203,1.826895,0.171304,0.733445,0.0,0.0,8,1.0,600,1
286,1,0,0,1.0,17,6,0,17,6098,1.429628,0.308657,1.738285,0.171304,0.667878,0.0,0.0,8,1.0,600,1
287,1,0,0,1.0,19,8,0,19,6117,1.160678,0.32449,1.485167,0.171304,0.720499,0.0,0.0,8,1.0,600,1
288,2,0,0,1.0,28,8,0,28,6145,1.456439,0.324627,1.781066,0.171304,0.712736,0.0,0.0,8,1.0,600,1
289,1,0,0,1.0,23,8,0,23,6168,1.351943,0.435646,1.787588,0.171304,0.753938,0.0,0.0,8,1.0,600,1
290,1,0,0,1.0,17,7,0,17,6185,1.345064,0.444988,1.790052,0.171304,0.670628,0.0,0.0,8,1.0,600,1
