game,winner,timeout,adjudicated_timeout,target_value_strength,timeout_adjudication_mode,timeout_adjudication_max_value,steps,walls,invalid_moves,examples_generated,replay_size,policy_loss,value_loss,total_loss,best_value_loss,avg_root_max_visit_ratio,action_temperature,temperature_after_drop,temperature_drop_step,target_policy_temperature,num_simulations,mcts_batch_size
106,2,0,0,1.0,fixed,0.5,18,8,0,18,2132,1.423704,0.432664,1.856368,0.118303,0.68772,0.0,0.0,8,1.0,600,1
107,2,0,0,1.0,fixed,0.5,20,7,0,20,2152,1.385686,0.442336,1.828022,0.118303,0.626377,0.0,0.0,8,1.0,600,1
108,2,0,0,1.0,fixed,0.5,6,2,0,6,2158,1.441798,0.502422,1.94422,0.118303,0.647468,1.0,0.0,8,1.0,600,1
109,1,0,0,1.0,fixed,0.5,23,7,0,23,2181,1.307747,0.285256,1.593004,0.118303,0.736953,0.0,0.0,8,1.0,600,1
110,1,0,0,1.0,fixed,0.5,17,6,0,17,2198,1.341619,0.370215,1.711835,0.118303,0.608269,0.0,0.0,8,1.0,600,1
111,2,0,0,1.0,fixed,0.5,22,8,0,22,2220,1.388862,0.400711,1.789574,0.118303,0.700941,0.0,0.0,8,1.0,600,1
112,1,0,0,1.0,fixed,0.5,19,6,0,19,2239,1.34854,0.316893,1.665433,0.118303,0.658554,0.0,0.0,8,1.0,600,1
113,1,0,0,1.0,fixed,0.5,25,7,0,25,2264,1.283504,0.291685,1.575189,0.118303,0.672254,0.0,0.0,8,1.0,600,1
114,2,0,0,1.0,fixed,0.5,22,8,0,22,2286,1.316512,0.365631,1.682143,0.118303,0.734406,0.0,0.0,8,1.0,600,1
115,2,0,0,1.0,fixed,0.5,14,8,0,14,2300,1.483884,0.377729,1.861613,0.118303,0.596113,0.0,0.0,8,1.0,600,1
116,2,0,0,1.0,fixed,0.5,26,8,0,26,2326,1.365855,0.384989,1.750844,0.118303,0.71568,0.0,0.0,8,1.0,600,1
117,1,0,0,1.0,fixed,0.5,13,6,0,13,2339,1.481761,0.404561,1.886322,0.118303,0.578785,0.0,0.0,8,1.0,600,1
118,1,0,0,1.0,fixed,0.5,15,6,0,15,2354,1.376724,0.359419,1.736143,0.118303,0.613244,0.0,0.0,8,1.0,600,1
119,1,0,0,1.0,fixed,0.5,17,7,0,17,2371,1.47274,0.339675,1.812415,0.118303,0.695964,0.0,0.0,8,1.0,600,1
120,1,0,0,1.0,fixed,0.5,65,8,0,65,2436,1.390477,0.333207,1.723684,0.118303,0.723822,0.0,0.0,8,1.0,600,1
121,2,0,0,1.0,fixed,0.5,22,8,0,22,2458,1.344808,0.360004,1.704813,0.118303,0.702914,0.0,0.0,8,1.0,600,1
122,1,0,0,1.0,fixed,0.5,15,8,0,15,2473,1.392403,0.391328,1.783731,0.118303,0.669449,0.0,0.0,8,1.0,600,1
